Production Countries,No. of Movies,Average Production Budget,Total Worldwide Box Office
Plurinational State of Bolivia,8,$0,"$78,311"
Isle of Man,2,$0,"$71,190"
Jamaica,7,"$750,000","$69,280"
Azerbaijan,8,"$29,120","$54,706"
Rwanda,3,$0,"$51,992"
Angola,4,$0,"$47,278"
Haiti,6,$0,"$41,873"
Sudan,4,$0,"$35,565"
Czechoslovakia,4,$0,"$34,070"
Côte D'Ivoire,1,$0,"$30,661"
United Republic of Tanzania,7,"$800,000","$27,694"
Zimbabwe,1,$0,"$25,038"
Macao,2,$0,"$25,021"
Congo,1,$0,"$24,139"
Gabon,1,$0,"$19,215"
Bahrain,1,$0,"$19,130"
Uganda,6,$0,"$16,942"
Burkina Faso,2,$0,"$7,849"
Andorra,1,$0,"$4,325"
Samoa,1,$0,"$4,289"
Lesotho,2,$0,"$3,355"
Uzbekistan,2,$0,"$3,024"
Mozambique,2,$0,"$2,468"
Mali,2,$0,"$1,939"
Ecuador,8,"$800,000","$1,763"
Kyrgyzstan,4,"$1,400,000","$1,238"
Barbados,1,$0,"$1,105"
Antarctica,2,$0,$976
Trinidad and Tobago,4,$0,$0
Nicaragua,4,$0,$0
Liechtenstein,4,$0,$0
Republic of Moldova,2,$0,$0
El Salvador,2,$0,$0
Federated States of Micronesia,1,$0,$0
Liberia,1,$0,$0
Solomon Islands,1,$0,$0
Kiribati,1,$0,$0
Honduras,1,$0,$0
Fiji,1,$0,$0
Belize,1,$0,$0
Oman,1,$0,$0
